City,Average Compensation (USD),Min Compensation (USD),Max Compensation (USD)
BOLTON,"17,525.00","17,525.00","17,525.00"
BOLZANO,"34,200.00","25,000.00","43,400.00"
BOSSIER CITY,"90,000.00","90,000.00","90,000.00"
BOSTON,"106,928.41","37,000.00","181,500.00"
BOSTON AREA,"148,000.00","148,000.00","148,000.00"
"BOSTON, MA","150,500.00","69,000.00","256,500.00"
BOTHELL,"41,500.00","41,500.00","41,500.00"
BOULDER,"120,550.00","59,000.00","206,000.00"
"BOULDER, CO","118,500.00","85,000.00","152,000.00"
BOURNEMOUTH,"41,451.67","28,355.00","55,000.00"
BOWLING GREEN,"87,500.00","75,000.00","100,000.00"
BOZEMAN,"55,200.00","48,000.00","62,400.00"
BRAGA,"30,550.00","30,550.00","30,550.00"
BRAINTREE MA,"68,000.00","68,000.00","68,000.00"
BRANFORD,"48,000.00","48,000.00","48,000.00"
BRASILIA,"38,000.00","27,000.00","49,000.00"
BRATISLAVA,"28,800.00","12,100.00","35,100.00"
BRATTLEBORO,"49,000.00","49,000.00","49,000.00"
"BREA, CA","60,500.00","60,500.00","60,500.00"
BREDA,"40,623.00","40,623.00","40,623.00"
BREMEN,"49,250.00","45,000.00","53,500.00"
BRIGHTON,"57,451.00","39,485.00","75,417.00"
BRISBANE,"61,354.55","31,000.00","106,361.00"
BRISTOL,"46,514.19","25,000.00","96,000.00"
BRNO,"26,356.25","18,000.00","34,625.00"
BRONX,"70,000.00","70,000.00","70,000.00"
BROOME,"93,475.00","93,475.00","93,475.00"
BROOMFIELD,"119,000.00","119,000.00","119,000.00"
BRUGGE,"29,041.00","29,041.00","29,041.00"
BRUSSELS,"35,936.00","22,080.00","72,000.00"
BUCHAREST,"18,500.00","18,500.00","18,500.00"
BUDAPEST,"28,230.00","14,800.00","37,800.00"
BUENOS AIRES,"20,000.00","15,000.00","25,000.00"
BUFFALO,"71,786.67","33,280.00","125,000.00"
BUFFALO NY,"59,833.33","50,000.00","66,000.00"
"BUFFALO, NY","69,750.00","65,000.00","74,500.00"
BUK,"18,000.00","18,000.00","18,000.00"
BURLINGTON,"43,166.67","15,000.00","64,000.00"
"BURLINGTON, VT","65,100.00","50,200.00","80,000.00"
